ID,Sentiment
0,1
1,0
2,0
3,0
4,1
5,0
6,0
7,1
8,0
9,0
10,1
11,1
12,1
13,0
14,1
15,1
16,0
17,1
18,1
19,0
20,0
21,1
22,0
23,1
24,1
25,0
26,0
27,1
28,0
29,1
30,0
31,1
32,1
33,1
34,0
35,1
36,0
37,1
38,0
39,0
40,0
41,1
42,1
43,1
44,0
45,0
46,0
47,0
48,1
49,0
50,0
51,0
52,0
53,1
54,0
55,1
56,1
57,0
58,0
59,0
60,1
61,1
62,1
63,1
64,0
65,1
66,0
67,1
68,1
69,0
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,0
80,1
81,0
82,1
83,0
84,1
85,1
86,0
87,1
88,0
89,1
90,1
91,0
92,0
93,0
94,1
95,1
96,1
97,1
98,1
99,1
100,0
101,1
102,1
103,0
104,1
105,1
106,1
107,1
108,0
109,1
110,1
111,1
112,0
113,1
114,1
115,1
116,0
117,0
118,0
119,0
120,1
121,0
122,1
123,1
124,0
125,0
126,0
127,1
128,0
129,0
130,1
131,0
132,1
133,1
134,0
135,1
136,1
137,0
138,0
139,1
140,0
141,1
142,0
143,1
144,0
145,1
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,1
154,1
155,0
156,1
157,1
158,0
159,0
160,1
161,0
162,1
163,1
164,0
165,1
166,0
167,0
168,0
169,1
170,1
171,0
172,1
173,1
174,1
175,0
176,1
177,0
178,0
179,0
180,0
181,1
182,0
183,1
184,1
185,0
186,0
187,0
188,1
189,1
190,1
191,1
192,0
193,0
194,1
195,1
196,0
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,0
205,1
206,1
207,1
208,0
209,1
210,1
211,1
212,0
213,0
214,1
215,1
216,0
217,0
218,1
219,0
220,0
221,1
222,0
223,1
224,0
225,0
226,1
227,0
228,0
229,1
230,1
231,1
232,1
233,0
234,0
235,1
236,1
237,0
238,0
239,1
240,1
241,1
242,0
243,0
244,0
245,0
246,0
247,1
248,1
249,0
250,1
251,1
252,1
253,1
254,0
255,1
256,0
257,1
258,1
259,0
260,1
261,1
262,0
263,1
264,1
265,1
266,0
267,1
268,1
269,0
270,1
271,1
272,1
273,1
274,0
275,0
276,0
277,0
278,1
279,0
280,1
281,0
282,0
283,1
284,0
285,1
286,0
287,0
288,1
289,1
290,1
291,1
292,1
293,0
294,0
295,0
296,0
297,0
298,0
299,1
300,0
301,0
302,1
303,0
304,1
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,1
313,0
314,1
315,0
316,0
317,1
318,1
319,1
320,0
321,1
322,0
323,0
324,1
325,1
326,1
327,1
328,1
329,1
330,0
331,1
332,1
333,0
334,0
335,0
336,0
337,0
338,0
339,1
340,1
341,0
342,0
343,1
344,0
345,0
346,1
347,0
348,1
349,0
350,0
351,0
352,1
353,0
354,0
355,0
356,1
357,1
358,0
359,1
360,1
361,1
362,0
363,1
364,1
365,1
366,0
367,1
368,1
369,1
370,1
371,0
372,0
373,0
374,1
375,1
376,0
377,1
378,0
379,1
380,1
381,1
382,1
383,0
384,1
385,0
386,1
387,1
388,0
389,1
390,1
391,1
392,1
393,0
394,0
395,0
396,1
397,1
398,1
399,0
400,0
401,1
402,1
403,1
404,1
405,0
406,0
407,1
408,1
409,1
410,1
411,1
412,0
413,1
414,1
415,1
416,0
417,1
418,1
419,0
420,0
421,0
422,0
423,0
424,0
425,1
426,0
427,0
428,1
429,0
430,1
431,0
432,1
433,1
434,0
435,1
436,1
437,1
438,1
439,0
440,1
441,1
442,0
443,0
444,1
445,0
446,0
447,1
448,1
449,0
450,1
451,0
452,0
453,0
454,0
455,0
456,0
457,1
458,1
459,1
460,0
461,1
462,0
463,0
464,1
465,0
466,0
467,1
468,0
469,0
470,0
471,1
472,0
473,1
474,1
475,1
476,1
477,1
478,0
479,1
480,1
481,0
482,0
483,1
484,0
485,0
486,1
487,0
488,0
489,0
490,1
491,0
492,0
493,1
494,1
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,1
503,1
504,1
505,1
506,0
507,0
508,1
509,0
510,1
511,1
512,1
513,0
514,1
515,0
516,1
517,0
518,0
519,0
520,1
521,1
522,0
523,1
524,0
525,0
526,0
527,0
528,1
529,1
530,1
531,1
532,0
533,0
534,0
535,1
536,1
537,1
538,0
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,0
548,0
549,1
550,1
551,0
552,1
553,0
554,1
555,0
556,1
557,1
558,0
559,1
560,1
561,0
562,1
563,0
564,1
565,0
566,1
567,1
568,1
569,0
570,1
571,0
572,1
573,0
574,1
575,1
576,1
577,0
578,0
579,1
580,1
581,1
582,0
583,1
584,1
585,1
586,1
587,1
588,0
589,0
590,1
591,1
592,0
593,0
594,0
595,0
596,1
597,1
598,0
599,0
600,1
601,1
602,1
603,0
604,1
605,1
606,1
607,0
608,1
609,0
610,1
611,0
612,0
613,1
614,0
615,1
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,1
624,1
625,0
626,0
627,0
628,1
629,1
630,1
631,0
632,0
633,1
634,1
635,0
636,1
637,0
638,0
639,0
640,0
641,1
642,1
643,0
644,0
645,0
646,1
647,1
648,0
649,0
650,0
651,0
652,0
653,0
654,1
655,1
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,1
665,0
666,1
667,0
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,0
678,1
679,0
680,0
681,1
682,1
683,1
684,0
685,1
686,0
687,0
688,0
689,1
690,0
691,1
692,1
693,0
694,1
695,0
696,1
697,1
698,1
699,0
700,1
701,1
702,0
703,1
704,1
705,0
706,0
707,1
708,1
709,1
710,1
711,1
712,0
713,0
714,0
715,0
716,1
717,0
718,0
719,1
720,1
721,1
722,1
723,0
724,0
725,1
726,1
727,1
728,1
729,0
730,0
731,1
732,0
733,0
734,1
735,0
736,1
737,1
738,1
739,0
740,0
741,1
742,0
743,0
744,1
745,1
746,1
747,0
748,1
749,0
750,0
751,1
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,1
762,0
763,0
764,1
765,1
766,0
767,1
768,1
769,1
770,0
771,0
772,1
773,0
774,0
775,1
776,1
777,0
778,1
779,0
780,1
781,1
782,0
783,1
784,0
785,0
786,0
787,0
788,0
789,1
790,1
791,0
792,1
793,1
794,1
795,0
796,1
797,1
798,1
799,1
800,1
801,1
802,0
803,1
804,0
805,1
806,0
807,1
808,0
809,0
810,0
811,1
812,0
813,1
814,0
815,0
816,1
817,1
818,0
819,1
820,0
821,1
822,1
823,0
824,1
825,1
826,0
827,1
828,1
829,0
830,0
831,0
832,1
833,1
834,1
835,0
836,0
837,1
838,0
839,1
840,0
841,1
842,1
843,1
844,1
845,0
846,0
847,0
848,0
849,1
850,1
851,1
852,1
853,1
854,0
855,1
856,1
857,1
858,1
859,0
860,0
861,1
862,1
863,0
864,0
865,0
866,1
867,0
868,1
869,0
870,0
871,1
872,1
873,1
874,1
875,0
876,1
877,0
878,1
879,1
880,1
881,0
882,0
883,0
884,1
885,0
886,1
887,0
888,0
889,0
890,0
891,0
892,1
893,0
894,1
895,0
896,1
897,0
898,1
899,1
900,0
901,0
902,0
903,0
904,1
905,0
906,1
907,0
908,0
909,0
910,0
911,1
912,0
913,0
914,1
915,1
916,1
917,1
918,1
919,1
920,0
921,0
922,1
923,0
924,0
925,0
926,1
927,0
928,0
929,1
930,0
931,1
932,1
933,1
934,0
935,0
936,1
937,0
938,0
939,0
940,0
941,1
942,0
943,1
944,0
945,0
946,1
947,1
948,0
949,0
950,0
951,0
952,1
953,0
954,1
955,1
956,0
957,0
958,1
959,1
960,1
961,0
962,1
963,1
964,1
965,0
966,0
967,1
968,0
969,0
970,1
971,1
972,1
973,0
974,0
975,1
976,1
977,1
978,0
979,1
980,0
981,1
982,1
983,0
984,0
985,0
986,0
987,0
988,1
989,0
990,0
991,0
992,0
993,1
994,1
995,0
996,0
997,0
998,0
999,0
1000,0
1001,1
1002,0
1003,1
1004,1
1005,1
1006,1
1007,0
1008,1
1009,0
1010,0
1011,0
1012,0
1013,1
1014,1
1015,1
1016,1
1017,0
1018,1
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,1
1028,0
1029,1
1030,1
1031,0
1032,0
1033,0
1034,0
1035,0
1036,1
1037,0
1038,1
1039,1
1040,0
1041,1
1042,1
1043,1
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,1
1051,1
1052,1
1053,1
1054,1
1055,1
1056,1
1057,0
1058,1
1059,0
1060,1
1061,1
1062,1
1063,1
1064,1
1065,0
1066,1
1067,1
1068,0
1069,1
1070,0
1071,1
1072,0
1073,0
1074,0
1075,0
1076,0
1077,1
1078,1
1079,0
1080,0
1081,0
1082,1
1083,1
1084,0
1085,1
1086,0
1087,0
1088,0
1089,0
1090,0
1091,1
1092,1
1093,1
1094,1
1095,1
1096,1
1097,0
1098,0
1099,0
1100,0
1101,1
1102,1
1103,0
1104,0
1105,1
1106,1
1107,0
1108,1
1109,1
1110,0
1111,1
1112,0
1113,1
1114,1
1115,0
1116,1
1117,1
1118,1
1119,1
1120,0
1121,1
1122,0
1123,0
1124,1
1125,0
1126,0
1127,1
1128,1
1129,1
1130,0
1131,1
1132,0
1133,1
1134,1
1135,0
1136,0
1137,0
1138,0
1139,1
1140,1
1141,1
1142,1
1143,1
1144,0
1145,1
1146,1
1147,1
1148,0
1149,0
1150,0
1151,0
1152,0
1153,1
1154,1
1155,0
1156,1
1157,0
1158,1
1159,1
1160,1
1161,0
1162,1
1163,1
1164,0
1165,1
1166,0
1167,0
1168,0
1169,1
1170,1
1171,1
1172,0
1173,1
1174,0
1175,0
1176,1
1177,1
1178,1
1179,0
1180,1
1181,0
1182,1
1183,0
1184,1
1185,1
1186,0
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,1
1194,0
1195,1
1196,0
1197,1
1198,0
1199,0
1200,0
1201,0
1202,1
1203,1
1204,0
1205,1
1206,0
1207,0
1208,1
1209,0
1210,1
1211,1
1212,0
1213,1
1214,0
1215,0
1216,1
1217,0
1218,1
1219,0
1220,1
1221,0
1222,1
1223,1
1224,0
1225,0
1226,1
1227,1
1228,1
1229,1
